company	legal_name	status	batch	selected_name	selected_batch	slug	website	match_rule
SalesPatriot	Salespatriot, Inc.	Active	W25	SalesPatriot	W25	salespatriot	https://www.salespatriot.com/	exact_name+batch
YouLearn	Youlearn Inc.	Active	X25	YouLearn	X25	youlearn	https://www.youlearn.ai/	exact_name+batch
Tinfoil	Tinfoil, Inc.	Active	X25	Tinfoil	X25	tinfoil	https://tinfoil.sh	exact_name+batch
Atum Works	Atum Works Inc.	Active	X25	Atum Works	X25	atum-works	https://atum.works/	exact_name+batch
Casco	Transmittr, Inc.	Active	X25	Casco	X25	casco	https://casco.com	exact_name+batch
Novoflow	Novoflow, Inc.	Active	X25	Novoflow	X25	novoflow	https://www.novoflow.io/	exact_name+batch
Pollen	Daymi, Inc.	Active	W26	Pollen	W26	pollen	https://www.pollen.cx/	exact_name+batch
Design Arena	Arcada Labs Incorporated	Active	S25	Design Arena	S25	design-arena	https://www.designarena.ai/	exact_name+batch
Janet	Janet AI, Inc.	Active	S25	Janet AI	S25	tryjanet	https://janet.ai	batch
Nuntius	Nuntius, Inc.	Dead	S25	Nuntius	S25	nuntius	https://www.nuntius.ai	exact_name+batch
Autosana	Autosana, Inc.	Active	S25	Autosana	S25	autosana	https://autosana.ai	exact_name+batch
Relling	Relling Corp.	Active	S25	Relling	S25	relling	https://relling.co	exact_name+batch
Solva	Solva Technology Inc	Active	S25	Solva	S25	solva	https://solvatechnology.com	exact_name+batch
Nozomio	Nozomio Inc.	Active	S25	Nozomio	S25	nozomio	https://www.trynia.ai/	exact_name+batch
GETASAP	Blaze Market Incorporated	Active	S25	GETASAP	S25	getasap	https://www.getasap.us	exact_name+batch
Juxta	Juxta Technology, Inc.	Active	S25	Juxta	S25	juxta	https://juxta.com	exact_name+batch
BootLoop	BootLoop Inc.	Active	S25	BootLoop	S25	bootloop	https://bootloop.ai/	exact_name+batch
Orange Slice	Orange Slice AI, Inc.	Active	S25	Orange Slice	S25	orange-slice	https://orangeslice.ai	exact_name+batch
Channel 3	Channel3, Inc.	Active	S25	Channel3	S25	channel3	https://trychannel3.com	batch
Luminal	Luminal AI, Inc.	Active	S25	Luminal	S25	luminal	https://luminal.com	exact_name+batch
Proliferate	Keystone Automation Inc.	Active	S25	Proliferate	S25	proliferate	https://proliferate.com?utm_source=yc&utm_medium=referral&utm_campaign=profile	exact_name+batch
Monarcha	Monarcha, Inc.	Active	S25	Monarcha	S25	monarcha	https://monarcha.ai	exact_name+batch
Pingo	Pingo AI, Inc.	Active	S25	Pingo AI	S25	pingo-ai	https://pingo.ai	batch
Perseus	Perseus Defense, Inc.	Active	S25	Perseus Defense	S25	perseus-defense	https://perseusdefense.com	batch
Kopra	Kopra Bio, Inc.	Active	S25	Kopra Bio	S24	kopra-bio	https://kopra.bio	top_hit
Autumn	Recase, Inc.	Active	S25	Autumn	S25	autumn	https://useautumn.com	exact_name+batch
Opennote	Opennote, Inc.	Active	S25	Opennote	S25	opennote	https://opennote.com	exact_name+batch
Slashy	Karvix, Inc.	Active	S25	Slashy	S25	slashy	https://www.slashy.com/	exact_name+batch
DeepGrove	DeepGrove	Active	S25	DeepGrove	S25	deepgrove	https://deepgrove.ai	exact_name+batch
Stellon Labs	Stellon Labs INC.	Active	S25	Stellon Labs	S25	stellon-labs	https://stellonlabs.com/	exact_name+batch
Hillclimb	Plun, Inc.	Active	F25	hillclimb	F25	hillclimb	https://hillclimb.com	exact_name+batch
Selfin	Selfin Inc	Active	F25	Selfin	F25	selfin	https://selfin.app	exact_name+batch
Structured AI	Structured Software Inc	Active	F25	Structured AI	F25	structured-ai	https://www.getstructured.ai/	exact_name+batch
Piggy Robotics	Rigmanic inc	Active	S24	Piggy Robotics	F25	piggy-robotics	https://piggyrobotics.com	exact_name
Multifactor	Multifactor Inc	Active	F25	Multifactor	F25	multifactor	https://multifactor.com	exact_name+batch
Icarus	Ikaros Industries Inc	Active	F25	Icarus	F25	icarus	https://www.icarus.one/	exact_name+batch
Nexus	Nexus Enterprise Inc	Active	F25	Nexus	F25	gpt	https://agent.nexus	exact_name+batch
Veria Labs	Veria Labs, Inc.	Active	F25	Veria Labs	F25	veria-labs	https://verialabs.com	exact_name+batch
SF Tensor	San Francisco Tensor Company	Active	F25	SF Tensor	F25	sf-tensor	https://sf-tensor.com	exact_name+batch
Iris	Minro.inc	Active	F25	Minro	F25	minro	https://minro.com/	batch
Prox	Dart Labs Inc	Active	F25	Prox	F25	prox	https://prox.inc	exact_name+batch
Locus	Locus Technologies Inc	Active	F25	Locus	F25	locus	https://paywithlocus.com	exact_name+batch
Sorce	redantai, Inc.	Active	F25	Sorce	F25	sorce	https://sorce.jobs	exact_name+batch
Dome	Dome API Inc.	Active	F25	Dome	F25	dome	https://domeapi.io	exact_name+batch
Wardstone	Wardstone Inc.	Active	F25	Wardstone	F25	wardstone	https://www.wardstone.space	exact_name+batch
Zavo	Zavo Inc	Active	F25	Zavo	F25	zavo	https://zavopay.com	exact_name+batch
Crunched	Crunched Inc	Active	F25	Crunched	F25	crunched	https://usecrunched.com/	exact_name+batch
Milliray		Active	W26	Milliray	W26	milliray	https://milliray.com/	exact_name+batch
Luel	Luel	Active	W26	Luel	W26	luel	https://luel.ai	exact_name+batch
o11	O11 Inc.	Active	W26	o11	W26	o11	https://o11.ai	exact_name+batch
Carrot Labs	Carrot Labs AI, Inc.	Active	W26	Carrot Labs	W26	carrot-labs	https://carrotlabs.ai/	exact_name+batch
Aemon	Omnial AI, Inc	Active	W26	Aemon	W26	aemon	https://aemon.ai/	exact_name+batch
Autumn AI	Autumn AI, Inc.	Active	W26	Autumn AI	W26	autumn-ai	https://autumnai.com	exact_name+batch
Pax Historia	Pax Historia, Co.	Active	W26	Pax Historia	W26	pax-historia	https://www.paxhistoria.co	exact_name+batch
GrazeMate		Active	W26	GrazeMate	W26	grazemate	https://grazemate.com	exact_name+batch
Hex Security	Anytool, Inc.	Active	W26	Hex Security	W26	hex-security	https://hex.co	exact_name+batch
Byteport	Byteport, Inc	Active	W26	Byteport	W26	byteport	https://byteport.com/	exact_name+batch
Fixture	Fixture, Inc.	Active	W26	Fixture	W26	fixture	https://fixture.app	exact_name+batch
Confluence Labs	Confluence Labs, Inc.	Active	W26	Confluence Labs	W26	confluence-labs	https://confluence.sh	exact_name+batch
General Astronautics	General Astronautics Corp	Active	W26	General Astronautics	W26	generalastro	https://generalastro.com/	exact_name+batch
Piris Labs	Piris Labs Inc.	Acive	W26	Piris Labs	W26	pirislabs	https://pirislabs.io/	exact_name+batch
Wayco	Wayco AI, Inc.	Active	W26	Wayco	W26	wayco	https://wayco.ai	exact_name+batch
Forum	Forum Markets Group Inc.,	Active	W26	Forum	W26	forum	https://www.forum.market/	exact_name+batch
Prana		Active	W26	Prana	W26	prana-health	https://pranadoc.com	exact_name+batch
Ashr		Active	W26	Ashr	W26	ashr	https://ashr.io	exact_name+batch
Origami Robotics		Active	W26	Origami Robotics	W26	origami-robotics	https://www.origami-robotics.com	exact_name+batch
